@relation dataset13
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
2,0,103,0,0,0,0,0,0,0,0,1
2,0,163,0,0,0,0,0,0,0,0,0
2,0,30,0,0,0,0,0,0,0,0,0
2,2,295,2,2,4,4,2,2,3,3,1
2,1,279,279,279,279,279,1,1,2,2,1
2,1,255,255,255,255,255,1,1,2,2,1
2,1,116,116,116,116,116,1,1,2,2,1
2,0,71,0,0,0,0,0,0,0,0,1
2,0,63,0,0,0,0,0,0,0,0,1
2,0,73,0,0,0,0,0,0,0,0,1
2,1,113,113,113,113,113,1,1,1,1,1
2,1,100,100,100,100,100,1,1,1,1,1
2,1,29,29,29,29,29,1,1,1,1,1
2,0,226,0,0,0,0,0,0,0,0,0
2,0,227,0,0,0,0,0,0,0,0,0
2,1,33,33,33,33,33,1,1,1,1,1
2,0,101,0,0,0,0,0,0,0,0,1
2,2,1062,25,19,30,23,5,7,5,9,1
2,1,455,455,455,455,455,1,1,1,1,1
2,3,598,10,9,20,17,4,5,5,6,0
2,2,103,-2,-2,15,15,2,2,3,3,1
2,2,84,3,4,7,7,2,3,2,4,1
2,1,74,74,74,74,74,1,1,1,1,1
2,0,83,0,0,0,0,0,0,0,0,1
3,0,41,0,0,0,0,0,0,0,0,0
3,0,34,0,34,0,34,0,1,0,1,1
3,0,47,0,0,0,0,0,0,0,0,1
3,0,74,0,1,0,2,0,1,0,1,1
3,0,803,0,-6,0,9,0,1,0,1,1
3,0,119,0,0,0,0,0,0,0,0,0
3,0,135,0,0,0,0,0,0,0,0,0
3,0,117,0,117,0,117,0,1,0,1,1
3,0,309,0,309,0,309,0,1,0,1,0
3,0,308,0,308,0,308,0,1,0,1,1
3,0,225,0,225,0,225,0,1,0,1,0
3,0,63,0,63,0,63,0,1,0,1,1
3,0,162,0,162,0,162,0,1,0,1,0
3,0,631,0,631,0,631,0,1,0,1,1
3,0,65,0,0,0,0,0,0,0,0,0
3,0,80,0,0,0,0,0,0,0,0,0
3,0,309,0,152,0,154,0,2,0,2,1
3,0,101,0,101,0,101,0,1,0,1,1
3,0,963,0,5,0,20,0,6,0,11,1
3,0,36,0,0,0,0,0,0,0,0,1
3,1,170,2,-1,3,1,1,3,1,4,0
3,0,27,0,0,0,1,0,1,0,1,1
3,0,109,0,3,0,10,0,2,0,3,0
3,0,62,0,0,0,1,0,1,0,1,1
3,0,75,0,0,0,0,0,0,0,0,0
3,0,81,0,0,0,0,0,0,0,0,0
3,0,189,0,0,0,0,0,0,0,0,0
3,0,136,0,0,0,0,0,0,0,0,1
3,0,118,0,1,0,9,0,3,0,4,1
3,0,117,0,0,0,0,0,0,0,0,0
3,0,963,0,49,0,56,0,5,0,6,1
3,0,63,0,-16,0,17,0,1,0,1,1
3,0,43,0,1,0,9,0,1,0,1,1
3,0,525,0,0,0,7,0,2,0,2,1
3,0,116,0,1,0,5,0,1,0,1,1
3,0,24,0,0,0,0,0,0,0,0,1
3,0,90,0,90,0,90,0,1,0,1,1
3,0,27,0,27,0,27,0,1,0,1,1
3,0,589,0,6,0,26,0,4,0,3,0
3,0,114,0,114,0,114,0,1,0,0,0
3,0,168,0,12,0,13,0,2,0,4,1
3,1,449,9,5,18,10,1,2,1,3,0
3,1,250,1,7,2,7,1,4,1,6,1
3,1,244,3,1,4,5,1,4,1,4,1
3,1,368,5,9,18,61,1,3,1,3,1
3,0,45,0,-9,0,17,0,1,0,1,1
3,1,369,3,4,14,11,1,3,1,3,0
3,0,37,0,-10,0,14,0,1,0,1,1
3,0,96,0,-1,0,1,0,2,0,2,0
3,0,77,0,0,0,0,0,0,0,0,1
3,0,31,0,0,0,0,0,0,0,0,1
3,0,221,0,15,0,17,0,4,0,5,1
3,0,63,0,2,0,4,0,1,0,1,1
3,0,36,0,0,0,0,0,0,0,0,0
3,0,41,0,0,0,0,0,0,0,0,0
3,0,106,0,2,0,4,0,1,0,1,1
3,0,56,0,0,0,0,0,0,0,0,0
3,0,39,0,0,0,0,0,0,0,0,0
3,0,97,0,0,0,0,0,0,0,0,0
3,0,32,0,0,0,0,0,0,0,0,0
3,0,50,0,0,0,0,0,0,0,0,0
3,0,37,0,0,0,0,0,0,0,0,0
3,0,90,0,0,0,0,0,0,0,0,0
3,0,68,0,0,0,0,0,0,0,0,0
3,0,36,0,0,0,0,0,0,0,0,0
3,0,32,0,0,0,0,0,0,0,0,0
3,0,36,0,0,0,0,0,0,0,0,0
3,0,91,0,0,0,0,0,0,0,0,0
3,0,458,0,0,0,0,0,0,0,0,0
3,0,43,0,0,0,0,0,0,0,0,0
3,0,128,0,0,0,0,0,0,0,0,0
3,0,96,0,0,0,0,0,0,0,0,0
3,0,560,0,129,0,240,0,2,0,3,1
3,1,584,9,4,55,43,1,3,1,3,1
3,0,48,0,22,0,25,0,1,0,1,1
3,0,174,0,-1,0,4,0,1,0,1,0
3,0,38,0,-1,0,3,0,1,0,1,1
3,0,28,0,-3,0,2,0,1,0,1,1
3,0,33,0,9,0,11,0,1,0,1,1
3,0,139,0,20,0,21,0,3,0,4,1
3,0,139,0,139,0,139,0,1,0,1,1
3,0,57,0,57,0,57,0,1,0,1,1
3,0,315,0,315,0,315,0,1,0,1,1
3,0,192,0,192,0,192,0,1,0,1,1
3,0,59,0,59,0,59,0,1,0,1,1
3,0,94,0,94,0,94,0,1,0,1,1
3,0,148,0,148,0,148,0,1,0,1,1
3,0,62,0,62,0,62,0,1,0,1,1
3,0,58,0,58,0,58,0,1,0,1,1
3,0,65,0,0,0,1,0,1,0,1,1
3,0,50,0,50,0,50,0,1,0,1,1
3,0,65,0,32,0,33,0,2,0,2,1
3,0,175,0,9,0,19,0,2,0,3,1
3,0,124,0,124,0,124,0,1,0,1,1
3,1,876,13,9,14,16,1,10,1,13,1
3,0,479,0,479,0,479,0,1,0,1,0
3,0,44,0,0,0,0,0,0,0,0,0
3,0,189,0,0,0,0,0,0,0,0,0
3,0,252,0,252,0,252,0,1,0,1,1
3,1,434,4,3,4,5,1,6,1,6,1
3,0,36,0,0,0,1,0,1,0,1,1
3,0,68,0,-1,0,0,0,1,0,1,1
3,0,71,0,0,0,0,0,0,0,0,1
3,0,119,0,34,0,48,0,1,0,2,1
3,0,40,0,0,0,7,0,1,0,1,1
3,0,526,0,6,0,29,0,3,0,2,1
3,0,239,0,239,0,239,0,1,0,1,1
3,0,31,0,1,0,2,0,1,0,1,1
3,0,447,0,447,0,447,0,1,0,1,1
3,0,585,0,10,0,22,0,5,0,6,1
3,2,198,-1,-3,4,24,3,5,5,8,1
3,0,111,0,6,0,7,0,2,0,3,0
3,0,61,0,-13,0,9,0,1,0,1,1
3,0,62,0,62,0,62,0,1,0,1,1
3,0,473,0,0,0,0,0,0,0,0,0
3,0,80,0,0,0,0,0,0,0,0,0
3,0,750,0,0,0,0,0,0,0,0,0
3,0,35,0,35,0,35,0,1,0,1,1
3,0,32,0,32,0,32,0,1,0,1,1
3,0,30,0,0,0,0,0,0,0,0,0
3,0,89,0,0,0,0,0,0,0,0,0
3,0,106,0,0,0,0,0,0,0,0,0
3,0,41,0,0,0,1,0,1,0,1,1
3,0,30,0,0,0,1,0,1,0,1,1
3,0,178,0,0,0,0,0,0,0,0,1
