"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","5","Best_First_BidirectionalUnder_Sampling","IBK","0.1935186253027333","0.59375","0.4418604651162791","0.6448408218559494","38.0","26.0","77.0","48.0"
"zookeeper","5","Best_First_BidirectionalUnder_Sampling","Random Forest","0.31895850284784383","0.7142857142857143","0.46511627906976744","0.7230187401219237","40.0","16.0","87.0","46.0"
"zookeeper","5","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.33301964474767676","0.7954545454545454","0.4069767441860465","0.7640550914427636","35.0","9.0","94.0","51.0"
"zookeeper","5","Best_First_BidirectionalOver_Sampling","IBK","0.19872215919269112","0.7586206896551724","0.2558139534883721","0.6732332354933394","22.0","7.0","96.0","64.0"
"zookeeper","5","Best_First_BidirectionalOver_Sampling","Random Forest","0.1882605583392985","0.7333333333333333","0.2558139534883721","0.6997629261684353","22.0","8.0","95.0","64.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.3578207381370827","0.7916666666666666","0.4418604651162791","0.6723865432377512","38.0","10.0","93.0","48.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.1849544801149977","0.7692307692307693","0.23255813953488372","0.5871528561752088","20.0","6.0","97.0","66.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.3576242871133129","0.7076923076923077","0.5348837209302325","0.6752088507563784","46.0","19.0","84.0","40.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.3578207381370827","0.7916666666666666","0.4418604651162791","0.6723865432377512","38.0","10.0","93.0","48.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.1849544801149977","0.7692307692307693","0.23255813953488372","0.5871528561752088","20.0","6.0","97.0","66.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.3576242871133129","0.7076923076923077","0.5348837209302325","0.6752088507563784","46.0","19.0","84.0","40.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.3578207381370827","0.7916666666666666","0.4418604651162791","0.7687401219236848","38.0","10.0","93.0","48.0"
"zookeeper","5","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.1849544801149977","0.7692307692307693","0.23255813953488372","0.6527432829081057","20.0","6.0","97.0","66.0"
