@relation dataset-17-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
0,480,0,480,0,480,0,2,0,4,NO
0,67,0,67,0,67,0,2,0,4,NO
0,111,0,14,0,15,0,23,0,4,YES
0,57,0,19,0,21,0,6,0,6,NO
0,54,0,27,0,27,0,4,0,4,NO
0,108,0,27,0,28,0,8,0,8,NO
0,339,0,113,0,115,0,6,0,6,NO
0,294,0,32,0,39,0,18,0,24,NO
0,254,0,30,0,31,0,25,0,10,YES
0,160,0,10,0,20,0,30,0,8,YES
0,74,0,74,0,74,0,2,0,2,NO
0,72,0,5,0,10,0,28,0,2,YES
0,96,0,6,0,10,0,28,0,14,YES
0,72,0,23,0,25,0,6,0,4,NO
0,135,0,10,0,13,0,31,0,12,NO
0,154,0,9,0,11,0,43,0,14,NO
0,266,0,133,0,134,0,4,0,4,NO
0,226,0,35,0,37,0,19,0,2,NO
0,226,0,27,0,28,0,25,0,8,NO
0,36,0,36,0,36,0,2,0,2,NO
0,72,0,72,0,72,0,2,0,2,NO
0,69,0,69,0,69,0,2,0,2,NO
0,37,0,37,0,37,0,2,0,2,NO
0,57,0,57,0,57,0,2,0,2,NO
1,441,6,49,10,57,2,18,2,22,YES
0,33,0,4,0,4,0,16,0,2,NO
0,112,0,112,0,112,0,2,0,2,YES
0,99,0,50,0,51,0,4,0,4,YES
0,371,0,124,0,156,0,6,0,8,NO
0,108,0,8,0,10,0,36,0,10,YES
0,61,0,30,0,31,0,4,0,6,YES
0,72,0,35,0,37,0,4,0,6,NO
0,289,0,289,0,289,0,2,0,2,NO
0,126,0,126,0,126,0,2,0,2,NO
0,767,0,767,0,767,0,2,0,2,YES
0,30,0,30,0,30,0,2,0,2,NO
0,39,0,19,0,39,0,4,0,4,NO
0,125,0,125,0,125,0,2,0,2,NO
0,568,0,284,0,308,0,4,0,6,NO
0,126,0,126,0,126,0,2,0,2,NO
0,287,0,143,0,171,0,4,0,6,NO
0,90,0,45,0,90,0,4,0,4,NO
0,321,0,160,0,167,0,4,0,6,NO
0,1602,0,27,0,63,0,145,0,120,YES
0,603,0,16,0,30,0,74,0,74,YES
0,35,0,35,0,35,0,2,0,2,NO
0,260,0,260,0,260,0,2,0,2,NO
1,392,5,80,7,85,4,10,8,18,YES
0,115,0,118,0,118,0,2,0,0,NO
0,865,0,18,0,86,0,130,0,100,YES
0,133,0,8,0,12,0,30,0,12,NO
0,116,0,6,0,10,0,38,0,44,YES
0,99,0,8,0,9,0,24,0,4,NO
0,218,0,72,0,97,0,6,0,6,NO
0,84,0,7,0,16,0,22,0,4,NO
0,57,0,57,0,57,0,2,0,2,NO
0,50,0,50,0,50,0,2,0,2,NO
0,96,0,96,0,96,0,2,0,2,NO
0,31,0,31,0,31,0,2,0,4,NO
