@relation dataset-19-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
0,126,0,126,0,126,0,2,0,2,0
0,767,0,767,0,767,0,2,0,2,1
0,30,0,30,0,30,0,2,0,2,0
0,39,0,19,0,39,0,4,0,4,0
0,125,0,125,0,125,0,2,0,2,0
0,568,0,284,0,308,0,4,0,6,0
0,126,0,126,0,126,0,2,0,2,0
0,287,0,143,0,171,0,4,0,6,0
0,90,0,45,0,90,0,4,0,4,0
0,321,0,160,0,167,0,4,0,6,0
2,1660,29,27,31,62,4,149,6,126,1
0,603,0,16,0,30,0,74,0,74,1
0,35,0,35,0,35,0,2,0,2,0
0,260,0,260,0,260,0,2,0,2,1
1,474,3,59,10,68,2,16,6,26,1
0,117,0,60,0,60,0,4,0,0,0
0,865,0,18,0,86,0,130,0,100,1
0,133,0,8,0,12,0,30,0,12,0
0,116,0,6,0,10,0,38,0,44,1
0,99,0,8,0,9,0,24,0,4,0
0,218,0,72,0,97,0,6,0,6,0
0,84,0,7,0,16,0,22,0,4,1
0,57,0,57,0,57,0,2,0,2,0
0,50,0,50,0,50,0,2,0,2,0
0,96,0,96,0,96,0,2,0,2,0
0,31,0,31,0,31,0,2,0,4,0
