@relation dataset-6-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
0,319,0,106,0,107,0,3,0,3,YES
0,193,0,193,0,193,0,1,0,0,NO
1,557,5,79,5,99,2,7,2,7,NO
0,781,0,390,0,393,0,2,0,3,NO
0,288,0,96,0,96,0,3,0,2,NO
0,117,0,39,0,196,0,3,0,2,NO
0,45,0,45,0,45,0,1,0,0,NO
0,55,0,55,0,55,0,1,0,0,NO
0,91,0,91,0,91,0,1,0,0,NO
1,125,0,20,1,37,1,6,0,3,NO
1,119,0,59,1,60,1,2,0,2,NO
0,43,0,14,0,17,0,3,0,2,NO
0,28,0,28,0,28,0,1,0,0,NO
0,199,0,42,0,43,0,6,0,6,NO
0,789,0,789,0,789,0,1,0,2,NO
0,55,0,55,0,55,0,1,0,2,NO
0,167,0,167,0,167,0,1,0,2,NO
0,43,0,43,0,43,0,1,0,0,NO
0,31,0,31,0,31,0,1,0,1,NO
1,87,87,87,87,87,1,1,1,1,NO
